9/10/2007 20:30:00,Burns Junction (100 miles south of),OR,Chevron,8 minutes,5 Chevron shaped amber/orange lights (VERY LARGE) all in sink in a horizontal V shape in S.E. Oregon.,10/8/2007
9/9/2007 22:00:00,Keizer,OR,Formation,Aprox 7 Minutes,Two bright lights hovering and then accelerating.,10/8/2007
9/5/2007 0:05:00,Salem,OR,Rectangle,30 minutes,"A large, bright orange rectangle appeared in front of the mountains, changed shape and produced orbs.",11/28/2007
9/3/2007 7:45:00,Eugene,OR,Cross,15 minutes,"silent, black and ""X"" shaped",10/8/2007
9/1/2007 22:00:00,Brookings,OR,Light,1 hour,"On Sept. 1, 2007, bright and oddly-colored light, moving really fast!",10/8/2007
9/1/2007 5:00:00,Jacksonville,OR,Circle,15-20 seconds,Bright object appearing and dissapearing slowly.,10/8/2007
9/1/2007 2:00:00,North Plains,OR,Light,5-10 minutes,A stationary star suddenly shoots straight across the sky above North Plains then shoots towards space.,10/8/2007
8/31/2007 22:30:00,Cloverdale,OR,Other,5 seconds,Red ember-like object on barn roof. ((NUFORC Note: Possible meteor. PD)),10/8/2007
8/30/2007 21:17:00,Troutdale,OR,Circle,2 minutes,"Two objects seen passing together over Troutdale, Oregon, at 9:17 pm",10/8/2007
8/26/2007 18:00:00,Prineville,OR,Sphere,7 seconds,UFO or Basket Ball in the middle of nothing?,10/8/2007
8/20/2007 21:50:00,Lafayette,OR,Oval,20 seconds,2 very bright oval objects viewed in the sky over Lafayette Oregon. ((NUFORC Note: ISS and STS?? PD)),10/8/2007
8/18/2007 19:40:00,Beaverton,OR,Other,10 minutes,Two objects seen over Portland,10/8/2007
8/14/2007 0:45:00,Portland,OR,Triangle,10 seconds,Glowing orange triangular object with orbs in each corner travelling south to north,8/14/2007
8/10/2007 14:30:00,Roseburg,OR,Other,4 minutes,"Meteor or UFO on August 12, 2007 Roseburg, Oregon?",8/14/2007
8/4/2007,Eugene,OR,Unknown,5 MINUTES,I WAS WITH MY GRANDMOTHER AND WE WERE ON OUR WAY TO A FARM TO GET SOME PRODUCE WHEN SHE TOLD ME TO LOOK OUTSIDE OF THE CAR WINDOW BECAU,8/14/2007
8/1/2007 23:00:00,Umatilla,OR,,5 seconds,Green Rectangler Flash in Sky,8/14/2007
7/31/2007 15:00:00,Lake Oswego,OR,Changing,15 seconds,"Large silver object appears in clear sky, then vanishes as though suddenly sucked away",8/7/2007
7/27/2007 22:00:00,Gold Beach,OR,Light,20 to 30 seconds?,"4 Balls of Light Travelling at High Speeds in Gold Beach, OR",8/7/2007
7/25/2007 23:00:00,Springfield,OR,Light,Hours,"Springfield, OR sightings of bright, multicolored lights near moon",8/7/2007
7/21/2007 5:40:00,Gresham,OR,Sphere,10 minutes,Noticed a marble sized (from my viewpoint) black object just hanging in the air.,8/7/2007
7/13/2007 10:15:00,Milwaukie,OR,Other,5-10 min,"Four bright Lights, humming sound, stationary at times and moved at times",8/7/2007
7/13/2007 1:13:00,Lincoln City,OR,Triangle,approx 10 sec.,Three lights traveling south to north up the oregon coastline Friday July 13th at aprox. 1:13AM,8/7/2007
7/12/2007 22:00:00,Gresham,OR,Light,over hour,Strange light attracting smaller lights of eradict movements during lighting and thunder storm sky empty of commercial aircraft,8/7/2007
7/12/2007 16:00:00,Carlton,OR,Cylinder,one minute,A four foot round cigar shaped object made of branches hanging in the sky by itself. Totally motionless.,8/7/2007
7/6/2007 16:40:00,Portland,OR,Other,1 minute,"Bright sun-illuminated ""dot"" drifting over S.E. Portland, Oregon",8/7/2007
7/4/2007 9:00:00,Eugene,OR,Disk,5 minutes,This report confirms another sighting posted in Eugene Oregon on this date. I saw the entire event. I was walking across 6th street t,3/19/2009
7/4/2007 0:15:00,Salem,OR,Light,30+ min.,Multiple crafts sited,8/7/2007
7/1/2007 22:10:00,Hillsboro,OR,Triangle,3 minutes,"Quiet triangular craft, bright white lights, reduced to rapidly flashing blue & red lights, disappeared like a twinkling star",8/7/2007
7/1/2007 0:00:00,Oregon coastline,OR,Other,around 1 hour,Estrange light and maybe a close encounter.,1/10/2009
6/30/2007 22:00:00,Burns/Chicamoniny Lake,OR,Flash,instant,"&#65279; We were laying back in our lawn chairs, on a hot July. summer evening at Chickahominy lake,( a desert lake 30 miles sout",3/19/2009
6/20/2007 14:30:00,Salem,OR,Disk,20 minutes,"i saw two shiny discs move trough the sky from north to south in the sunny afternoon, very slowly.",12/12/2009
6/20/2007 0:00:00,Keizer,OR,Oval,3 minutes,"Very large, oval shaped craft with two steady white lights for and aft. ((NUFORC Note: Space Shuttle w/ ISS?? PD))",8/7/2007
6/19/2007 22:40:00,Beaverton,OR,Other,5 min,two lights traveling to the south east in Beaverton,8/7/2007
6/19/2007 22:33:00,Lebanon,OR,Light,,"White Lights In Sky, Were Gone Out Of Nowhere. ((NUFORC Note: Space Shuttle w/ ISS?? PD))",8/7/2007
6/19/2007 22:30:00,Lincoln City,OR,Light,90 seconds,Bright lights of unknown origins witnessed by two individuals over the Pacific Ocean. ((NUFORC Note: Space Shuttle w/ ISS?? PD)),8/7/2007
6/19/2007 22:00:00,Beaverton,OR,Unknown,1 min. 2 secs,"2 Bright lights flying in formation, or maybe ONE craft. Got them on Video. ((NUFORC Note: ISS orbiting with Space Shuttle. PD))",8/7/2007
6/18/2007 22:18:00,Portland,OR,Light,30 seconds,Bright Light heading SE over PDX,8/7/2007
5/30/2007 19:45:00,Portland,OR,Sphere,30 minutes,2 very small white spheres hovered in same general area for 30 minutes,8/7/2007
5/28/2007 18:45:00,Portland,OR,Circle,15 - 20 min,"7 craft appeared in the SE bright sunny day lit sky over Oregon, looked like white planets, moved slowly and gradually disappeared.",6/12/2007
5/23/2007 5:45:00,Folenburg,OR,Disk,3 minutes,Saucer above the Cornelius Pass curves,8/7/2007
5/16/2007 22:00:00,Portland,OR,Light,10 seconds,"Bright, Disappearing Object in Portland Night-Sky",6/12/2007
5/11/2007 22:33:00,Knappa,OR,Unknown,45+min,"Very Bright Light moving in bouncing like movements in Knappa,Oregon",6/12/2007
5/9/2007 4:25:00,Reedsport,OR,Triangle,5 min,"Hovering object above the trees, with strobe like lights",6/12/2007
5/8/2007 23:30:00,Portland,OR,Sphere,10 mins,Blue flash and hovering white sphere in Portland Oregon,6/12/2007
5/7/2007 23:30:00,Tualatin,OR,Light,45 minutes,lights dancing across sky,6/12/2007
5/7/2007 22:50:00,Reedsport,OR,Circle,5 Sec,Huge blue light disappears into the trees and other cars blinking there lights at me and truck had his flashers on.,6/12/2007
5/7/2007 0:00:00,Albany,OR,Triangle,4-5 seconds,"We saw something unusual and unforgetable along the river in Albany, Oregon",11/28/2007
5/5/2007 21:00:00,Beaverton,OR,Triangle,10 minutes,"Triangle craft motionless in sky with three bright lights and one strobe seen in Beaverton, Oregon 9:00 PM May 5 2007",6/12/2007
4/29/2007 17:00:00,Portland,OR,Circle,3 min,fast moving object that was gone when i looked down to get phone,6/12/2007
4/25/2007 0:00:00,Springfield,OR,Circle,2-3 hours,Many bright lights moving very fast in the nights sky.,4/27/2007
4/20/2007 11:30:00,Portland,OR,Circle,10/15/2017,Black dot moved silently across the sky in different directions like an observation pattern.,4/27/2007
4/15/2007 23:00:00,Beaverton,OR,Unknown,3-4 HOURS,WHITE BALL OF LIGHT SLOWLY MOVING IN THE SAME AREA FREQUENTLY,6/12/2007
4/15/2007 23:00:00,Talent,OR,Changing,5 min.,"bright flash,then ciclular orange orb of light diminshing to nothing and over and over,due north",6/12/2008
4/13/2007 20:50:00,Troutdale,OR,Sphere,15 Seconds,"Extremely bright and fast UFO over Troutdale, OR",4/27/2007
4/12/2007 20:30:00,Stayton,OR,Light,2 to 3 minutes,orange-yellow fire dribbled stright down from the object,4/27/2007
3/31/2007 19:50:00,Portland,OR,Light,4 sec,bright lights,4/27/2007
3/31/2007 19:45:00,Beaverton,OR,Unknown,10 seconds,Large object with hot pink glowing light in front and turquoise blue light in back descending with no trail and disappeared at dusk.,4/27/2007
3/22/2007 22:15:00,Corvallis,OR,Light,one-half second,"Round, white light with halo effect appeared briefly in the vicinity of the Big Dipper on clear, cold night..",4/27/2007
3/22/2007 19:00:00,Beaverton,OR,Cigar,2-3 mins,Multiple cigar shaped objects flying around each other then shooting across the sky.,4/27/2007
3/20/2007 22:35:00,Newberg,OR,Light,a few seconds,round ball of light falling from the sky like a falling star.,4/27/2007
3/20/2007 11:00:00,White City/Eagle Point,OR,Cigar,about 10 mins,Unknown over the hills of Eagle Point and White City,4/27/2007
3/19/2007 15:00:00,Prineville,OR,Sphere,45 sec.,"Saw a sphere shape light hovering off rimrock, it moved very fast, and was gone in an instant.",4/27/2007
3/15/2007 21:30:00,Medford,OR,Light,5 sec,Green/Blue Colored Lights fall from the sky in same location nearly twice a week around same time.,4/27/2007
3/14/2007 21:00:00,Redmond,OR,Light,hour,"Shimmering brilliant light darting and hovering in horizon above butte in Redmond, OR.",4/27/2007
3/8/2007 23:00:00,Estacada,OR,Cylinder,5-8 seconds,"Red orb over Clackamas County, Oregon",4/27/2007
3/5/2007 22:37:00,Redmond,OR,Light,1min.,"three lights in the sky over redmond, oregon",4/27/2007
2/28/2007 19:12:00,Woodburn,OR,Light,19:40,Bright light just west of Woodburn was seen for 30 minutes then was gone in a blink of an eye. ((NUFORC Note: Venus? PD)),3/8/2007
2/17/2007 8:00:00,Portland,OR,Changing,7 minutes,"From the heart a rare and ever so ,""WOW!""",2/24/2007
2/5/2007 19:15:00,Prineville,OR,Unknown,2.5 minutes,"Lights moving in a straight line, slow and steadily close to the ground with a very slight sound.",2/24/2007
1/27/2007 18:50:00,Salem,OR,Triangle,10 minutes,"A triangle shape of 3 rapidly flashing blue-white lights moving slowly over downtown Salem, OR",2/1/2007
1/25/2007 21:00:00,Medford,OR,Cone,5 minutes,"A cone shaped object with a long strip of lights that changed color, seen over Medford",2/1/2007
1/22/2007 22:30:00,Happy Valley,OR,Light,7 min.,"Bright pulsing light moving at fast speeds over Milwaukie, Oregon",2/1/2007
1/22/2007 21:00:00,Wilsonville,OR,Light,still happening as I writ,Might be a UFO. ((NUFORC Note: Possible twinkling star?? PD)),3/4/2008
1/15/2007 14:00:00,Beaverton,OR,Changing,4 minutes,I was driving south on Murray Blvd at about 2:00pm in the afternoon. I was in a long line of traffic where Murray Blvd. Crosses over T,2/1/2007
1/14/2007 19:00:00,Chiloquin,OR,Circle,10 minutes,"RED, BLUE, GREEN ROTATING LIGHTS IN NIGHT SKY. ((NUFORC Note: Sirius sighting. PD))",2/1/2007
1/11/2007 19:30:00,McMinnville,OR,Sphere,45-60 Min,"Spherical object scene, hovering moving back and forth and up and down fairly rapidly, Clear skys no clouds in the southwestern sky, up",2/1/2007
1/6/2007 18:35:00,Forest Grove,OR,Sphere,4 seconds,"Big Blue Orb Flying low near Forest Grove Oregon, USA.",2/1/2007
1/1/2007 19:30:00,Salem,OR,Unknown,15-20 seconds,"Lights moving from south to north, low to ground and slow without any sound.",2/1/2007
12/15/2006 0:01:00,McMinnville,OR,Circle,20 minutes,Big Metal Ball. Glowing.,1/10/2009
11/30/2006 17:55:00,Salem,OR,Light,3-4 minutes,Bright planet type light that went nova and shrunk to nothing. Hurt my skin and eyes.,12/7/2006
11/16/2006 17:15:00,Prineville,OR,Changing,3 minutes,"Bright lights change number and into object and strike of lights apear in picture taken Prineville, OR",12/7/2006
10/31/2006 23:00:00,Scappoose,OR,Oval,1 hour,oval shaped ufo shoots in to air with many colors,12/7/2006
10/31/2006 19:10:00,Tualatin,OR,Fireball,30 seconds,Fireball sighting on Halloween night,12/7/2006
10/30/2006 19:10:00,Medford,OR,Chevron,1 minute,An extremely fast object of hazy chevron shape from one horizon to the other in a minute's time. ((NUFORC Note: Satellite?? PD)),12/7/2006
10/21/2006 19:35:00,Aloha,OR,Light,Aprox. 1 min,"Bright light over Aloha, OR, travelling fast",10/30/2006
10/21/2006 19:30:00,Brookings,OR,Unknown,a few minutes,"I saw a steady white light traveling west to east over Brookings, OR. It was bright and traveling fast.",10/30/2006
10/20/2006 14:01:00,Prospect,OR,Cigar,a few seconds,"Object near jet in Prospect, Oregon.",12/7/2006
10/17/2006 22:02:00,Talent,OR,Light,5 Second,"Green and White Falling Object, Near Ashland, Or",10/30/2006
10/8/2006 18:30:00,Eugene,OR,Formation,2-3 min,formation of lights 4 white 1 red with amazing sign-wave pattern over entire craft.,10/30/2006
10/3/2006 23:45:00,Portland,OR,Circle,45 minutes,Two nights after my first encounter I spotted another last night! I was out on my porch watching the stars when one of them moved. The,10/30/2006
10/3/2006 21:00:00,Dufur,OR,Disk,2 minutes,3 flashing lights at exact distances crossed entire sky over a field and ducked behind a hill in less than 2 minutes.,10/30/2006
10/2/2006 0:45:00,Portland,OR,Circle,1.5 hours,I was sitting outside on my porch after midnight. As I sat there I looked out above my neighbors house to see two stars about an inch a,10/30/2006
10/1/2006 16:50:00,Obrien,OR,Other,2 min.,"This all started earier in the day, as I fired some small arms, I noticed a sound of thunder then a sonic boom then the sounds of a jet",10/30/2006
9/26/2006 1:40:00,Cornelius,OR,Triangle,10 sec,4 lights moving South to North,10/30/2006
9/25/2006 23:00:00,Tualatin,OR,Oval,20 miinutes,"saw UFO while walking home. Tualatin, Oregon. 9-25-06",10/30/2006
9/20/2006,White City,OR,Cigar,1-2 Min.,"white light near bridge in white city, oregon",10/30/2006
9/18/2006 18:02:00,Prospect,OR,Sphere,20 Minutes,"Ball of light seen over Prospect, Oregon",12/7/2006
9/16/2006 13:30:00,Cannon Beach,OR,Sphere,,Unknown Object Over Cannon Beach,10/30/2006
9/6/2006 21:00:00,Beaverton,OR,Unknown,30 seconds,UFO looking like a star flew overhead. Only one sighted.,10/30/2006
8/29/2006 13:25:00,Portland,OR,Egg,1 second,Object seen east of Portland Airport at 1:25pm Moving steadily south and level,10/30/2006
8/27/2006 23:00:00,Grants Pass,OR,,10 minutes,bright circular moving light above tree tops,10/30/2006
8/26/2006 0:54:00,Beaverton,OR,Other,Seconds,"Brilliant with varied shape, blinks out and moves to another part of the sky in one second before blinking out again.",10/30/2006
8/24/2006 20:45:00,Medford,OR,Flash,30 seconds,Unidentified Falling Object - Not Meteor.,10/30/2006
8/20/2006 2:00:00,Bend,OR,Oval,45 min,"I came home from work and a neighbor called me over to view what they had been watching. I said ""it's a bright star"" My Neighbor said",6/12/2008
8/19/2006 21:26:00,Baker City,OR,Triangle,10-15 seconds,12 V Shaped Lights in Sky,10/30/2006
8/17/2006 22:30:00,Florence,OR,Light,8 to 9 minutes,Strange Light in Coastal Sky,10/30/2006
8/15/2006 4:15:00,Milwaukie,OR,Circle,2 minutes,"Bright light that dropped straight down, occasionally doing zig zags and loops, but then straight back down.",10/30/2006
8/13/2006 0:45:00,Lincoln City,OR,Formation,1 minute,"Spinning objects in sky over Pacific Ocean in Lincoln City, OR @ Sea Gypsy Hotel on Beach",10/30/2006
8/12/2006 6:15:00,Burns Junction,OR,Other,2-3 sec,yellow strobe chase family along road in Oregon,10/30/2006
8/2/2006 11:00:00,Klamath Falls,OR,Flash,3 mins,"Bright flashes, high pitched sound.",11/28/2007
8/1/2006 22:00:00,Salem,OR,Light,3 seconds,Two separate rapidly brightening and dimming objects,10/30/2006
7/29/2006 22:00:00,Salem-Portland,OR,Oval,3 min,Bright yellow light hovering over Interstate 5 - in Woodburn?,10/30/2006
7/29/2006 14:30:00,Portland,OR,Sphere,15 mins,Metallic Spherical object(s) in sky above downtown Portland Oregon this evening.,10/30/2006
7/25/2006 3:45:00,Corbett,OR,Light,5-10 min.,"Slow-moving bright lights in V shape seen from Corbett, Oregon",10/30/2006
7/21/2006 10:45:00,Medford,OR,Light,3sec,small and bright,10/30/2006
7/20/2006 20:45:00,Portland,OR,Diamond,15 minutes,"Daylight sighting: silent, black diamond flies over Portland, Or",10/30/2006
7/20/2006 19:50:00,Milwaukie,OR,Light,5 seconds,Bright round object seen in the sky and then disappeard as if it were leaving the atmosphere. It seemed VERY SHINEY!!!!!!!!!!!!!!!!!!!!,10/30/2006
7/20/2006 0:00:00,La Pine,OR,Circle,three hours,me and several people seen brite round objects VERY high in the night sky heading north west at a speed i thought impossible there was,10/30/2006
7/14/2006 0:00:00,Applegate,OR,Unknown,?,((HOAX??)) It was around midnight and I was floating in my tent and so was my girlfriend at the time.,5/26/2016
7/10/2006 16:00:00,Portland,OR,Circle,about 5 minutes,Video taped a Black vibrating object near contrail,8/7/2007
7/7/2006 11:00:00,Portland,OR,Flash,5minutes,"Flashing beam of light,lasted five minutes.",7/16/2006
7/4/2006 18:00:00,Portland,OR,Cigar,5-7 seconds,Black dash near moon around 6 pm on the 4th of july in Se Portland near Mt. Tabor.,7/16/2006
7/1/2006 22:15:00,Sublimity,OR,Sphere,three nights,Bright white spherical objects when stationary blinking white and red when travelling,7/16/2006
7/1/2006 1:00:00,McMinnville,OR,Circle,15 minutes,UFO seen above hills in McMinnville Oregon- (2 witness see UFO 5+ occasions-),3/4/2008
6/27/2006 2:00:00,Portland,OR,Disk,5 to 6 secs,brght blue flashing disc,7/16/2006
6/17/2006 10:02:00,Lake Oswego,OR,Light,5 seconds,A white Ord light that keeps passing over,7/16/2006
6/10/2006 22:00:00,Portland,OR,Fireball,5 min.,Large glowing red orb,7/16/2006
6/6/2006 22:00:00,Portland,OR,Light,15 minutes or so,"It was just starting to get dark on tuesday night. I was walking up the stairwell in my dorm, and noticed a strange bright white light",7/16/2006
6/1/2006 23:00:00,Rockaway,OR,Sphere,45 seconds,Object appeared as a satellite then stopped became bright enogh to illuminate the beach.,12/12/2011
6/1/2006 20:45:00,North Powder area,OR,Oval,15 seconds,Metalic craft traveling at high speed leaving trail like meteor rapidly changes direction and vanishes.,7/16/2006
5/17/2006 22:30:00,Beaverton,OR,Diamond,7-10 seconds,strange dim diamond shaped light pattern traveling across the sky NW to SE about 5-10 times a jets speed.,7/16/2006
5/13/2006 13:00:00,Aloha,OR,Oval,1 second,Oval Shaped Object in the sky above residential neighborhood,5/15/2006
5/6/2006 22:00:00,Maupin,OR,Light,2-3 min,"My girlfriend and I were camping on the Deschutes river and late one night at roughly 22:00 we happened to be looking up at the stars,",4/27/2007
4/30/2006 0:20:00,Portland,OR,Diamond,3 seconds,"Strange Diamond shaped object seen in Portland, Oregon",7/16/2006
4/30/2006 0:05:00,Tigard,OR,Formation,45 sec.,Light Formation,7/16/2006
4/29/2006 23:55:00,Portland,OR,Light,3-5 minutes,Six Red Lights,5/15/2006
4/29/2006 23:54:00,Portland,OR,Sphere,ten minutes,Amber orb lights over downtown Portland.,5/15/2006
4/29/2006 23:50:00,Portland,OR,Changing,20 minutes,"Six fiery, glowing objects, some at a standstill, then all six of them moved very slowly over the city of Portand, Oregon.",5/15/2006
4/29/2006 23:50:00,Portland,OR,Changing,15-20 minutes,"I saw at least six bright glowing, orange in color objects in the sky over the city of Portland on Saturday night, 4-29-06.",5/15/2006
